speaker_id,first_name,last_name,chamber,type,party,state,district,bio_guide_id,congress_id
,,A,,,,,,,
,,ABERCROMBE,,,,,,,
2.0,Neil,ABERCROMBIE,HOUSE,REPRESENTATIVE,D,HI,1.0,A000014,107.0
1269.0,Spencer,ABRAHAM,SENATE,SENATOR,R,MI,,A000355,106.0
2244.0,Ralph,ABRAHAM,HOUSE,REPRESENTATIVE,R,LA,5.0,A000374,114.0
4.0,Gary,ACKERMAN,HOUSE,REPRESENTATIVE,D,NY,5.0,A000022,107.0
2201.0,Alma,ADAMS,HOUSE,REPRESENTATIVE,D,NC,12.0,A000370,114.0
2006.0,Sandy,ADAMS,HOUSE,REPRESENTATIVE,R,FL,24.0,A000366,112.0
1460.0,Robert,ADERHOLT,HOUSE,REPRESENTATIVE,R,AL,4.0,A000055,113.0
1935.0,John,ADLER,HOUSE,REPRESENTATIVE,D,NJ,3.0,A000364,111.0
2229.0,Pete,AGUILAR,HOUSE,REPRESENTATIVE,D,CA,31.0,A000371,114.0
7.0,Daniel,AKAKA,SENATE,SENATOR,D,HI,,A000069,107.0
1655.0,W.,AKIN,HOUSE,REPRESENTATIVE,R,MO,2.0,A000358,107.0
1727.0,Rodney,ALEXANDER,HOUSE,REPRESENTATIVE,R,LA,5.0,A000361,112.0
1695.0,Lamar,ALEXANDER,SENATE,SENATOR,R,TN,,A000360,113.0
11.0,Wayne,ALLARD,SENATE,SENATOR,R,CO,,A000109,107.0
13.0,George,ALLEN,SENATE,SENATOR,R,VA,,A000121,107.0
2239.0,Rick,ALLEN,HOUSE,REPRESENTATIVE,R,GA,12.0,A000372,114.0
1461.0,Thomas,ALLEN,HOUSE,REPRESENTATIVE,D,ME,1.0,A000357,107.0
,,ALTIMRE,,,,,,,
1873.0,Jason,ALTMIRE,HOUSE,REPRESENTATIVE,D,PA,4.0,A000362,112.0
,,ALTMORE,,,,,,,
2029.0,Justin,AMASH,HOUSE,REPRESENTATIVE,R,MI,3.0,A000367,113.0
2090.0,Mark,AMODEI,HOUSE,REPRESENTATIVE,R,NV,2.0,A000369,113.0
,,ANDREW,,,,,,,
21.0,Robert,ANDREWS,HOUSE,REPRESENTATIVE,D,NJ,1.0,A000210,107.0
25.0,Douglas,APPLEGATE,HOUSE,,D,OH,,A000214,103.0
26.0,Bill,ARCHER,HOUSE,REPRESENTATIVE,R,TX,7.0,A000215,106.0
1867.0,Michael,ARCURI,HOUSE,REPRESENTATIVE,D,NY,24.0,A000363,110.0
,,AREMY,,,,,,,
28.0,Richard,ARMEY,HOUSE,REPRESENTATIVE,R,TX,26.0,A000217,107.0
,,ARMY,,,,,,,
2350.0,Jodey,ARRINGTON,HOUSE,,R,TX,,A000375,115.0
,,ASCHCROFT,,,,,,,
,,ASCHROFT,,,,,,,
1274.0,John,ASHCROFT,SENATE,SENATOR,R,MO,,A000356,106.0
2257.0,Brad,ASHFORD,HOUSE,REPRESENTATIVE,D,NE,2.0,A000373,114.0
1947.0,Steve,AUSTRIA,HOUSE,REPRESENTATIVE,R,OH,7.0,A000365,112.0
2075.0,Kelly,AYOTTE,SENATE,SENATOR,R,NH,,A000368,113.0
,,B,,,,,,,
2270.0,Brian,BABIN,HOUSE,REPRESENTATIVE,R,TX,36.0,B001291,114.0
1614.0,Joe,BACA,HOUSE,REPRESENTATIVE,D,CA,42.0,B001234,107.0
,,BACERRA,,,,,,,
,,BACH,,,,,,,
1858.0,Michele,BACHMANN,HOUSE,REPRESENTATIVE,R,MN,6.0,B001256,113.0
38.0,Spencer,BACHUS,HOUSE,REPRESENTATIVE,R,AL,6.0,B000013,113.0
2337.0,Don,BACON,HOUSE,,R,NE,,B001298,115.0
,,BACUS,,,,,,,
41.0,Scotty,BAESLER,HOUSE,REPRESENTATIVE,D,KY,6.0,B000028,105.0
1557.0,Brian,BAIRD,HOUSE,REPRESENTATIVE,D,WA,3.0,B001229,107.0
47.0,Richard,BAKER,HOUSE,REPRESENTATIVE,R,LA,6.0,B000072,107.0
48.0,John,BALDACCI,HOUSE,REPRESENTATIVE,D,ME,2.0,B000081,107.0
1558.0,Tammy,BALDWIN,SENATE,SENATOR,D,WI,,B001230,113.0
1734.0,Frank,BALLANCE,HOUSE,,D,NC,,B001238,108.0
,,BALLANGER,,,,,,,
50.0,Cass,BALLENGER,HOUSE,REPRESENTATIVE,R,NC,10.0,B000104,107.0
2326.0,Jim,BANKS,HOUSE,,R,IN,,B001299,115.0
2093.0,Ron,BARBER,HOUSE,REPRESENTATIVE,D,AZ,2.0,B001279,113.0
51.0,Peter,BARCA,HOUSE,,D,WI,,B001226,103.0
52.0,James,BARCIA,HOUSE,REPRESENTATIVE,D,MI,5.0,B000134,107.0
2054.0,Lou,BARLETTA,HOUSE,REPRESENTATIVE,R,PA,11.0,B001269,113.0
53.0,Tom,BARLOW,HOUSE,,D,KY,,B000151,103.0
56.0,Bob,BARR,HOUSE,REPRESENTATIVE,R,GA,7.0,B000169,107.0
2131.0,Andy,BARR,HOUSE,REPRESENTATIVE,R,KY,6.0,B001282,113.0
2311.0,Nanette,BARRAGAN,HOUSE,,D,CA,,B001300,115.0
1881.0,John,BARRASSO,SENATE,SENATOR,R,WY,,B001261,113.0
1745.0,J.,BARRETT,HOUSE,REPRESENTATIVE,R,SC,3.0,B001239,110.0
58.0,Thomas,BARRETT,HOUSE,REPRESENTATIVE,D,WI,5.0,B000177,107.0
57.0,Bill,BARRETT,HOUSE,REPRESENTATIVE,R,NE,3.0,B000179,106.0
1780.0,John,BARROW,HOUSE,REPRESENTATIVE,D,GA,12.0,B001252,113.0
60.0,Roscoe,BARTLETT,HOUSE,REPRESENTATIVE,R,MD,6.0,B000208,107.0
62.0,Joe,BARTON,HOUSE,REPRESENTATIVE,R,TX,6.0,B000213,113.0
1996.0,Karen,BASS,HOUSE,REPRESENTATIVE,D,CA,37.0,B001270,113.0
63.0,Charles,BASS,HOUSE,REPRESENTATIVE,R,NH,2.0,B000220,107.0
64.0,Herbert,BATEMAN,HOUSE,REPRESENTATIVE,R,VA,1.0,B000229,106.0
66.0,Max,BAUCUS,SENATE,SENATOR,D,MT,,B000243,107.0
1572.0,Evan,BAYH,SENATE,SENATOR,D,IN,,B001233,107.0
1782.0,Melissa,BEAN,HOUSE,REPRESENTATIVE,D,IL,8.0,B001253,110.0
2153.0,Joyce,BEATTY,HOUSE,REPRESENTATIVE,D,OH,3.0,B001281,113.0
1712.0,Bob,BEAUPREZ,HOUSE,REPRESENTATIVE,R,CO,7.0,B001240,108.0
70.0,Xavier,BECERRA,HOUSE,REPRESENTATIVE,D,CA,34.0,B000287,113.0
1898.0,Mark,BEGICH,SENATE,SENATOR,D,AK,,B001265,113.0
,,BEILENSION,,,,,,,
72.0,Anthony,BEILENSON,HOUSE,,D,CA,,B000318,103.0
,,BEILSENSON,,,,,,,
1750.0,Chris,BELL,HOUSE,REPRESENTATIVE,D,TX,25.0,B001241,108.0
2027.0,Dan,BENISHEK,HOUSE,REPRESENTATIVE,R,MI,1.0,B001271,113.0
1965.0,Michael,BENNET,SENATE,SENATOR,D,CO,,B001267,113.0
1280.0,Robert,BENNETT,SENATE,SENATOR,R,UT,,B000382,107.0
,,BENSTEN,,,,,,,
2135.0,Kerry,BENTIVOLIO,HOUSE,REPRESENTATIVE,R,MI,11.0,B001280,113.0
78.0,Helen,BENTLEY,HOUSE,,R,MD,,B000392,103.0
79.0,Ken,BENTSEN,HOUSE,REPRESENTATIVE,D,TX,25.0,B000400,107.0
,,BEOHLERT,,,,,,,
2102.0,Ami,BERA,HOUSE,REPRESENTATIVE,D,CA,7.0,B001287,113.0
,,BERCERRA,,,,,,,
80.0,Doug,BEREUTER,HOUSE,REPRESENTATIVE,R,NE,1.0,B000403,107.0
2037.0,Rick,BERG,HOUSE,REPRESENTATIVE,R,ND,0.0,B001272,112.0
2333.0,Jack,BERGMAN,HOUSE,,R,MI,,B001301,115.0
1576.0,Shelley,BERKLEY,HOUSE,REPRESENTATIVE,D,NV,1.0,B001231,107.0
82.0,Howard,BERMAN,HOUSE,REPRESENTATIVE,D,CA,26.0,B000410,107.0
1462.0,Marion,BERRY,HOUSE,REPRESENTATIVE,D,AR,1.0,B000420,107.0
,,BEUTLER,,,,,,,
84.0,Tom,BEVILL,HOUSE,,D,AL,,B000431,103.0
,,BEVILLE,,,,,,,
2272.0,Donald,BEYER,HOUSE,REPRESENTATIVE,D,VA,8.0,B001292,114.0
1284.0,Joseph,BIDEN,SENATE,SENATOR,D,DE,,B000444,107.0
1577.0,Judy,BIGGERT,HOUSE,REPRESENTATIVE,R,IL,13.0,B001232,107.0
2307.0,Andy,BIGGS,HOUSE,,R,AZ,,B001302,115.0
,,BILBBRAY,,,,,,,
87.0,Brian,BILBRAY,HOUSE,REPRESENTATIVE,R,CA,49.0,B000461,106.0
,,BILILEY,,,,,,,
1838.0,Gus,BILIRAKIS,HOUSE,REPRESENTATIVE,R,FL,12.0,B001257,113.0
89.0,Michael,BILIRAKIS,HOUSE,REPRESENTATIVE,R,FL,9.0,B000463,107.0
1285.0,Jeff,BINGAMAN,SENATE,SENATOR,D,NM,,B000468,107.0
,,BINGMAN,,,,,,,
1740.0,Timothy,BISHOP,HOUSE,REPRESENTATIVE,D,NY,1.0,B001242,113.0
2249.0,Mike,BISHOP,HOUSE,REPRESENTATIVE,R,MI,8.0,B001293,114.0
91.0,Sanford,BISHOP,HOUSE,REPRESENTATIVE,D,GA,2.0,B000490,113.0
1753.0,Rob,BISHOP,HOUSE,REPRESENTATIVE,R,UT,1.0,B001250,113.0
2063.0,Diane,BLACK,HOUSE,REPRESENTATIVE,R,TN,6.0,B001273,113.0
1748.0,Marsha,BLACKBURN,HOUSE,REPRESENTATIVE,R,TN,7.0,B001243,113.0
93.0,Lucien,BLACKWELL,HOUSE,,D,PA,,B000517,103.0
1463.0,Rod,BLAGOJEVICH,HOUSE,REPRESENTATIVE,D,IL,5.0,B000518,107.0
,,BLIILEY,,,,,,,
97.0,Tom,BLILEY,HOUSE,REPRESENTATIVE,R,VA,7.0,B000556,106.0
2241.0,Rod,BLUM,HOUSE,REPRESENTATIVE,R,IA,1.0,B001294,114.0
,,BLUMBENAUER,,,,,,,
99.0,Earl,BLUMENAUER,HOUSE,REPRESENTATIVE,D,OR,3.0,B000574,113.0
,,BLUMENSUER,,,,,,,
2076.0,Richard,BLUMENTHAL,SENATE,SENATOR,D,CT,,B001277,113.0
1464.0,Roy,BLUNT,SENATE,SENATOR,R,MO,,B000575,113.0
100.0,Peter,BLUTE,HOUSE,,R,MA,,B000576,103.0
1949.0,John,BOCCIERI,HOUSE,REPRESENTATIVE,D,OH,16.0,B001263,111.0
101.0,Sherwood,BOEHLERT,HOUSE,REPRESENTATIVE,R,NY,23.0,B000586,107.0
102.0,John,BOEHNER,HOUSE,REPRESENTATIVE,R,OH,8.0,B000589,113.0
,,BOELERT,,,,,,,
