speaker_id,first_name,last_name,chamber,type,party,state,district,bio_guide_id,congress_id
2,Neil,ABERCROMBIE,HOUSE,REPRESENTATIVE,D,HI,1.0,A000014,107
1269,Spencer,ABRAHAM,SENATE,SENATOR,R,MI,,A000355,106
2244,Ralph,ABRAHAM,HOUSE,REPRESENTATIVE,R,LA,5.0,A000374,114
4,Gary,ACKERMAN,HOUSE,REPRESENTATIVE,D,NY,5.0,A000022,107
2006,Sandy,ADAMS,HOUSE,REPRESENTATIVE,R,FL,24.0,A000366,112
2201,Alma,ADAMS,HOUSE,REPRESENTATIVE,D,NC,12.0,A000370,114
1460,Robert,ADERHOLT,HOUSE,REPRESENTATIVE,R,AL,4.0,A000055,113
1935,John,ADLER,HOUSE,REPRESENTATIVE,D,NJ,3.0,A000364,111
2229,Pete,AGUILAR,HOUSE,REPRESENTATIVE,D,CA,31.0,A000371,114
7,Daniel,AKAKA,SENATE,SENATOR,D,HI,,A000069,107
1655,W.,AKIN,HOUSE,REPRESENTATIVE,R,MO,2.0,A000358,107
1727,Rodney,ALEXANDER,HOUSE,REPRESENTATIVE,R,LA,5.0,A000361,112
1695,Lamar,ALEXANDER,SENATE,SENATOR,R,TN,,A000360,113
11,Wayne,ALLARD,SENATE,SENATOR,R,CO,,A000109,107
1461,Thomas,ALLEN,HOUSE,REPRESENTATIVE,D,ME,1.0,A000357,107
13,George,ALLEN,SENATE,SENATOR,R,VA,,A000121,107
2239,Rick,ALLEN,HOUSE,REPRESENTATIVE,R,GA,12.0,A000372,114
1873,Jason,ALTMIRE,HOUSE,REPRESENTATIVE,D,PA,4.0,A000362,112
2029,Justin,AMASH,HOUSE,REPRESENTATIVE,R,MI,3.0,A000367,113
2090,Mark,AMODEI,HOUSE,REPRESENTATIVE,R,NV,2.0,A000369,113
21,Robert,ANDREWS,HOUSE,REPRESENTATIVE,D,NJ,1.0,A000210,107
26,Bill,ARCHER,HOUSE,REPRESENTATIVE,R,TX,7.0,A000215,106
1867,Michael,ARCURI,HOUSE,REPRESENTATIVE,D,NY,24.0,A000363,110
28,Richard,ARMEY,HOUSE,REPRESENTATIVE,R,TX,26.0,A000217,107
2350,Jodey,ARRINGTON,HOUSE,N/A,R,TX,,A000375,115
1274,John,ASHCROFT,SENATE,SENATOR,R,MO,,A000356,106
2257,Brad,ASHFORD,HOUSE,REPRESENTATIVE,D,NE,2.0,A000373,114
1947,Steve,AUSTRIA,HOUSE,REPRESENTATIVE,R,OH,7.0,A000365,112
2075,Kelly,AYOTTE,SENATE,SENATOR,R,NH,,A000368,113
2270,Brian,BABIN,HOUSE,REPRESENTATIVE,R,TX,36.0,B001291,114
1614,Joe,BACA,HOUSE,REPRESENTATIVE,D,CA,42.0,B001234,107
1858,Michele,BACHMANN,HOUSE,REPRESENTATIVE,R,MN,6.0,B001256,113
38,Spencer,BACHUS,HOUSE,REPRESENTATIVE,R,AL,6.0,B000013,113
2337,Don,BACON,HOUSE,N/A,R,NE,,B001298,115
41,Scotty,BAESLER,HOUSE,REPRESENTATIVE,D,KY,6.0,B000028,105
1557,Brian,BAIRD,HOUSE,REPRESENTATIVE,D,WA,3.0,B001229,107
47,Richard,BAKER,HOUSE,REPRESENTATIVE,R,LA,6.0,B000072,107
48,John,BALDACCI,HOUSE,REPRESENTATIVE,D,ME,2.0,B000081,107
1558,Tammy,BALDWIN,SENATE,SENATOR,D,WI,,B001230,113
50,Cass,BALLENGER,HOUSE,REPRESENTATIVE,R,NC,10.0,B000104,107
2093,Ron,BARBER,HOUSE,REPRESENTATIVE,D,AZ,2.0,B001279,113
52,James,BARCIA,HOUSE,REPRESENTATIVE,D,MI,5.0,B000134,107
2054,Lou,BARLETTA,HOUSE,REPRESENTATIVE,R,PA,11.0,B001269,113
