speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id
2,Neil,Abercrombie,REPRESENTATIVE,D,HI,1,A000014,107
1269,Spencer,Abraham,SENATOR,R,MI,,A000355,106
2244,Ralph,Abraham,REPRESENTATIVE,R,LA,5,A000374,114
4,Gary,Ackerman,REPRESENTATIVE,D,NY,5,A000022,107
2006,Sandy,Adams,REPRESENTATIVE,R,FL,24,A000366,112
2201,Alma,Adams,REPRESENTATIVE,D,NC,12,A000370,114
1460,Robert,Aderholt,REPRESENTATIVE,R,AL,4,A000055,113
1935,John,Adler,REPRESENTATIVE,D,NJ,3,A000364,111
2229,Pete,Aguilar,REPRESENTATIVE,D,CA,31,A000371,114
7,Daniel,Akaka,SENATOR,D,HI,,A000069,107
1655,W.,Akin,REPRESENTATIVE,R,MO,2,A000358,107
1727,Rodney,Alexander,REPRESENTATIVE,R,LA,5,A000361,112
1695,Lamar,Alexander,SENATOR,R,TN,,A000360,113
11,Wayne,Allard,SENATOR,R,CO,,A000109,107
13,George,Allen,SENATOR,R,VA,,A000121,107
1461,Thomas,Allen,REPRESENTATIVE,D,ME,1,A000357,107
2239,Rick,Allen,REPRESENTATIVE,R,GA,12,A000372,114
1873,Jason,Altmire,REPRESENTATIVE,D,PA,4,A000362,112
2029,Justin,Amash,REPRESENTATIVE,R,MI,3,A000367,113
2090,Mark,Amodei,REPRESENTATIVE,R,NV,2,A000369,113
21,Robert,Andrews,REPRESENTATIVE,D,NJ,1,A000210,107
26,Bill,Archer,REPRESENTATIVE,R,TX,7,A000215,106
1867,Michael,Arcuri,REPRESENTATIVE,D,NY,24,A000363,110
28,Richard,Armey,REPRESENTATIVE,R,TX,26,A000217,107
1274,John,Ashcroft,SENATOR,R,MO,,A000356,106
2257,Brad,Ashford,REPRESENTATIVE,D,NE,2,A000373,114
1947,Steve,Austria,REPRESENTATIVE,R,OH,7,A000365,112
2075,Kelly,Ayotte,SENATOR,R,NH,,A000368,113
2270,Brian,Babin,REPRESENTATIVE,R,TX,36,B001291,114
1614,Joe,Baca,REPRESENTATIVE,D,CA,42,B001234,107
1858,Michele,Bachmann,REPRESENTATIVE,R,MN,6,B001256,113
38,Spencer,Bachus,REPRESENTATIVE,R,AL,6,B000013,113
41,Scotty,Baesler,REPRESENTATIVE,D,KY,6,B000028,105
1557,Brian,Baird,REPRESENTATIVE,D,WA,3,B001229,107
47,Richard,Baker,REPRESENTATIVE,R,LA,6,B000072,107
48,John,Baldacci,REPRESENTATIVE,D,ME,2,B000081,107
1558,Tammy,Baldwin,SENATOR,D,WI,,B001230,113
50,Cass,Ballenger,REPRESENTATIVE,R,NC,10,B000104,107
2093,Ron,Barber,REPRESENTATIVE,D,AZ,2,B001279,113
52,James,Barcia,REPRESENTATIVE,D,MI,5,B000134,107
2054,Lou,Barletta,REPRESENTATIVE,R,PA,11,B001269,113
56,Bob,Barr,REPRESENTATIVE,R,GA,7,B000169,107
2131,Andy,Barr,REPRESENTATIVE,R,KY,6,B001282,113
1881,John,Barrasso,SENATOR,R,WY,,B001261,113
57,Bill,Barrett,REPRESENTATIVE,R,NE,3,B000179,106
1745,J.,Barrett,REPRESENTATIVE,R,SC,3,B001239,110
58,Thomas,Barrett,REPRESENTATIVE,D,WI,5,B000177,107
1780,John,Barrow,REPRESENTATIVE,D,GA,12,B001252,113
60,Roscoe,Bartlett,REPRESENTATIVE,R,MD,6,B000208,107
62,Joe,Barton,REPRESENTATIVE,R,TX,6,B000213,113
1996,Karen,Bass,REPRESENTATIVE,D,CA,37,B001270,113
63,Charles,Bass,REPRESENTATIVE,R,NH,2,B000220,107
64,Herbert,Bateman,REPRESENTATIVE,R,VA,1,B000229,106
66,Max,Baucus,SENATOR,D,MT,,B000243,107
1572,Evan,Bayh,SENATOR,D,IN,,B001233,107
1782,Melissa,Bean,REPRESENTATIVE,D,IL,8,B001253,110
2153,Joyce,Beatty,REPRESENTATIVE,D,OH,3,B001281,113
1712,Bob,Beauprez,REPRESENTATIVE,R,CO,7,B001240,108
70,Xavier,Becerra,REPRESENTATIVE,D,CA,34,B000287,113
