speech_id,last_name,speaker_id,proceeding_id,topic_id,word_count,speech_text,file_name,mods_file,proceeding_title,year,month,day
0,BEYER,2272,proceeding_id,topic_id,213,"Mr.Speaker, I rise today to express my constituents' demand for an independent investigation of the Trump-Russia scandal.  Since mid-November, this has been a major issue for the people I represent, who are deeply concerned about protecting democratic elections. Among their concerns are the following:  Changes last July to the Republican Party's platform that are beneficial to Russia, which the Trump campaign spearheaded.  A few days later, Trump's call on Russia to launch a cyber attack against former Secretary of State Hillary  Trump's refusal to say anything negative about Vladimir Putin, such as his terrible record on human rights or his crackdown on dissent.  The intelligence community's consensus that Putin directed a campaign of weaponized information against Hillary  And the implication of numerous Trump advisers in unseemly relations with Russia, including Michael Flynn, Jeff Sessions, Roger Stone, Paul Manafort, Michael Cohen, and Carter  Mr.Speaker, my constituents have watched as the House Intelligence Committee's investigation lapsed into confusion and obfuscation, obviously at the behest of the White  Last month, that committee canceled public hearings which would have included the testimony of former Acting Attorney General Sally  My constituents have watched President Trump, whose Presidential campaign is under FBI investigation, alternate between protestations that ``Trump-Russia is a hoax'' and repeated attempts to change the subject.                          ____________________",CREC-2017-04-06-pt1-PgH2768-5.txt,CREC-2017-04-06-pt1-PgH2768-5.xml,1045,2017,4,6
1,RUIZ,2109,proceeding_id,topic_id,200,"Mr.Speaker, Air Force Chief Master Sergeant Shirley Powell of Cathedral City exemplified our Nation's highest values of dedication to public service. She passed away last month, March 2017. Her legacy of leadership is a constant source of inspiration. I am humbled to have called her my constituent and my friend.  Chief Master Sergeant Powell joined the U.Air Force in 1962, where she served for 38 years. She opened important doors for women in our military. She was the first woman to have achieved the rank of chief master sergeant in the Air National Guard 146th Airlift Wing and to be selected for the special duty of first sergeant.  She continued to serve the Coachella Valley after her retirement in numerous veterans' organizations. She became a life member of the Palm Springs Air Force Association, and was also selected to serve on the Riverside County Veterans' Advisory  She served on my Congressional Veterans' Advisory Board and Military Academy Nominations Her advice and counsel were invaluable to me.  Mr.Speaker, I am humbled to recognize Chief Master Sergeant Powell and[[Page H2758]]add her story and contributions to our Nation's record. Her distinguished career is an example of excellence, dedication, and service to our                          ____________________",CREC-2017-04-06-pt1-PgH2757-7.txt,CREC-2017-04-06-pt1-PgH2757-7.xml,HONORING THE MEMORY OF CHIEF MASTER SERGEANT SHIRLEY POWELL,2017,4,6
2,STEFANIK,2263,proceeding_id,topic_id,174,"Mr.Speaker, I rise today to praise a school in my district that is going the extra mile to ensure that our heroes are given the resources and opportunities they deserve.  On April 22, Paul Smith's College in my district will hold the grand opening of their Veterans Resource Center--a project made possible through grants from the Holder Family Foundation and the Fred Emerson This center will provide vets on campus with an important recreational resource and place to study, as well as house the Paul Smith's College Veteran's Paul Smith's has a proud tradition of service with our Armed Forces dating back to when the campus was first built during World War II and was used as a U.Army Signal Corps training center.  Since then, the school has upheld their commitment to our servicemembers, working with several organizations to ease the transition from service to academia for our veterans.  Mr.Speaker, I am pleased to speak on the House floor today to recognize the special work being done for our heroes by Paul Smith's                          ____________________",CREC-2017-04-06-pt1-PgH2757-6.txt,CREC-2017-04-06-pt1-PgH2757-6.xml,HONORING PAUL SMITH'S COLLEGE FOR THEIR COMMITMENT TO VETERANS,2017,4,6
3,MESSER,2130,proceeding_id,topic_id,165,"Mr.Speaker, Congress is leaving for Easter break with work undone. For 7 years, we have told the American people that we would repeal ObamaCare and replace it with something better, and we have legislation that provides that opportunity. It is not a perfect bill--no bill is. But President Trump has said this is our best and only chance to get this done.  The bill cuts taxes by hundreds of billions of dollars and reduces government by hundreds of billions, too. It keeps preexisting condition prohibitions and lets 26-year-olds stay on their parents' health care. But most importantly, it unshackles American families from government-forced mandates costing them hundreds of thousands of dollars each year. Simply put, it is an enormous improvement over the status quo.  My hope is we will be back next week before I know many of my colleagues are ready for the holidays, but we need to do what we said we would do: repeal ObamaCare and replace it with something better.                          ____________________",CREC-2017-04-06-pt1-PgH2768-4.txt,CREC-2017-04-06-pt1-PgH2768-4.xml,OUR WORK ON HEALTH CARE IS UNDONE,2017,4,6
4,HILL,2223,proceeding_id,topic_id,130,"Mr.Speaker, today I rise to recognize the Quapaw Area Council, which, for the first time, was recognized by the Boy Scouts of America's Journey to Excellence program as a Gold Level Council, the highest award possible.  The Boy Scouts of America's Journey to Excellence program is designed to encourage excellence and reward success at all levels of scouting, measuring several indicators that include fiscal management, fundraising, youth advancement, youth camping, and membership recruitment.  As a fellow Scout, I am proud of the high standards our Scouts in Arkansas are setting. This achievement is a credit to the dedication of members of the council, countless volunteers, devoted parents, and committed  On behalf of all Arkansans, congratulations. We look forward to following your continued success for generations of Scouts to come.                          ____________________",CREC-2017-04-06-pt1-PgH2768-6.txt,CREC-2017-04-06-pt1-PgH2768-6.xml,QUAPAW AREA COUNCIL GOLD LEVEL,2017,4,6
5,SESSIONS,1525,proceeding_id,topic_id,78,"Mr.Speaker, pursuant to the order of the House of today, I move that the House do now adjourn.  The motion was agreed to; accordingly (at 2 o'clock and 32 minutes p.m.), under its previous order, the House adjourned until Saturday, April 8, 2017, at 11 a.m., unless it sooner has received a message from the Senate transmitting its adoption of House Concurrent Resolution 48, in which case the House shall stand adjourned pursuant to that concurrent resolution.                          ____________________",CREC-2017-04-06-pt1-PgH2782-9.txt,CREC-2017-04-06-pt1-PgH2782-9.xml,ADJOURNMENT,2017,4,6
6,RUSSELL,2265,proceeding_id,topic_id,2090,"Mr.Speaker, today, exactly 100 years ago, on this very floor, the United States declared war on Imperial Germany and entered the First World War on the side of the The decisions that led to that monumental declaration forever changed America's destiny, economy, military, foreign policy, and culture.  Today also marks the beginning of our National Centennial remembrance of America's service in World War I for the sacrifices made by all Americans and for the more than one-quarter of a million American casualties, including over 100,000 dead, most of whom were lost in a mere 6-month period from May to November 1918.  By the war's end, my great-grandfather and his three brothers would all serve. My great-grandfather's brother, my great-uncle, Frank Chamberlain, was killed in action. This is his pipe that he was carrying when he was killed in France, his dog tags, and his uniform insignia that I was able to inherit from my great-grandfather.  He lays peacefully in France under a white marble military gravestone, a scant, faceless hint of the man who was once filled with laughter and humor, who held dreams, hopes, and goals for the future. Frank was 19 years old.  On April 6, 1917, our country was forever changed, and it began right here on this very floor. It is only fitting, Mr.Speaker, that we give remembrance to its beginning here today. I am indeed indebted to the fine work of Eric Setzekorn of the United States Army's Center of Military History for his material from ``Joining the Great War,'' which forms the basis for today's remembrance.       After the assassination of Archduke Franz Ferdinand of      Austria on the 28th of June 1914, which led to the military      mobilization across Europe and declarations of war by early      August, most Americans took solace that the Atlantic Ocean      shielded the United States from the conflict. The Chicago      Herald summed up the popular support for isolation from      Europe's strife in its article that said: ``Peace-loving      citizens of this country will now rise up and tender a hearty      vote of thanks to Columbus for having discovered America.''       Germany's invasion of neutral Belgium brought Great Britain      into the war and divided Europe into two great camps. Britain      joined France and Russia to form the Triple Entente, more      commonly referred to as the Allied Opposed to them      were Germany and Austria-Hungary, making up the Central            President Woodrow Wilson believed that the immoral nature      of European politics created entangling alliances that      transformed a regional conflict into a global war that      threatened world peace. The President delivered a Declaration      of Neutrality to this very Congress on the 19th of August      1914, calling on all citizens to remain ``impartial in      thought, as well as in action.'' However, between late 1914      and early 1917, the escalating conflict tested American      traditions of isolationism as it threatened to draw the      Nation closer to the war.       The initial German offensive against France ended in      September at the Battle of the Marne, after which both sides      attempted a series of flanking maneuvers to gain the      advantage. Neither side proved capable of overcoming the      killing power that machine guns and rapid-firing artillery      brought to the defensive, and the battle lines all along the      Western Front stabilized in a vast system of trenches      stretching from Switzerland all the way to the English      This was a new type of warfare, with soldiers      subjected to prolonged stress and danger, with little chance      for daring heroics or martial glory.       Behind the trenches, the development of sophisticated      supply systems that were able to support millions of men and      massive levels of firepower and the ability to rush reserves      to block any potential enemy breakthrough led to a vicious      stalemate.       On the broad expanses of the Eastern Front, Germany and      Austria were locked in a brutal war of attrition with Russia,      where logistics and artillery shells counted far more than      bravery.       To break through the deadlock, the combatants attempted to      smash through enemy[[Page H2778]]     lines with ever larger offensives. Attacks in 1915 saw tens      of thousands of soldiers and hundreds of artillery pieces      deployed along only a few miles of the front, trying to win      through sheer weight of numbers and ordnance. The result was      thousands of dead and gains measured in yards after weeks of      constant fighting.       Poison gas, first used by the Germans in April 1915 and      later adopted by every nation, added to the daily misery and      danger. By 1916, as the industrial economies of Germany,      France, and Britain became fully geared toward war      production, battles increased in scale and destructiveness.      In the fight of the fortress of Verdun between February and      December, the French and Germans suffered more than 1 million      casualties combined.       On the first day of the Somme Offensive on the 1st of July      1916, the British and French fired more than 2 million      artillery shells into the German lines in support of 19      divisions attacking along only a 20-mile front. Despite this      colossal weight of numbers, the British alone suffered 57,000      casualties on the very first day and did not break the German      defenses. By the time the Somme ended in mid-November, all      sides had suffered more than a combined 1 million casualties,      while the front moved fewer than 10 miles. As a result,      Verdun and the Somme became synonymous with the slaughter and      destruction that defined the Western       As the stalemate in France continued, U.political and      public opinion began to shift from neutrality toward support      for the German atrocities in Belgium, at times      exaggerated by Allied propaganda, shocked many      Additionally, in early 1915, the Germans began an effort to      isolate the British Isles by using submarines, known as      Unterseeboote, or U-boats, to attack British merchant      shipping.                              {time}  1215       The German campaign, which consisted of the unrestricted      sinking of any merchant vessel bound for Britain, was      portrayed by American newspapers as a cowardly and immoral      method of warfare.       On the 1st of May 1915, a German U-boat sank the British      liner RMS Lusitania, killing 1,198 men, women, and children,      including 128 American citizens onboard. After the attack,      The New York Times called on President Wilson to ``demand      that the Germans shall no longer make war like savages drunk      with blood.''       Fearing that such action could pull the United States into      the war, and concerned over British violations of American      shipping rights, President Wilson continued his policy of      neutrality. Seeking to take the moral high road, he      proclaimed: ``There is such a thing as a man being too proud      to fight . . . There is such a thing as a Nation being so      right that it does not need to convince others by force that      it is right.''       However, after the Germans sank the French passenger ferry      SS Sussex in March 1916, Wilson threatened to break off      diplomatic relations with In May, the Germans      pledged to abandon unrestricted submarine warfare, though      they reserved the right to attack legitimate targets such as      armed merchant ships or those vessels carrying war materiel.       As Germany's submarine campaign damaged its relations with      the United States, America's economic relationship with      Britain and France expanded. Faced with a war of attrition,      the Allies relied on agricultural and industrial resources to      support their war efforts.       Despite a British blockade that severely cut American      commerce and its friendly relations to the former central      powers, U.trade with Europe more than doubled from 1913 to      1917. U.companies not only provided civilian goods, but      also war materiel. Bethlehem Steel alone supplied the Allies      with over 20 million artillery shells between 1914 and 1918,      while major weapons manufacturers like Remington and      Winchester sold rifles and guns. Allied governments relied      heavily on the U.banking industry for billions in loans to      finance their war.       Despite the United States' growing economic ties to the      Allies, the American public still preferred that the Nation      remain neutral. The British Government's brutal suppression      of the 1916 Easter Rising in Ireland angered many Americans--     and certainly, Irish Americans--as did its continued      violation of American neutral shipping rights through its      blockade of       As the casualty list grew during 1916, most Americans were      thankful that they had not been drawn into the carnage      engulfing       In November 1916, President Wilson won reelection by a      narrow margin, largely on the slogan, ``He kept us out of      war.'' However, circumstances changed rapidly in early 1917.      Many Americans began to volunteer for the French, great      Britain or Canada, like my Uncle       Germany's increasingly desperate strategic situation led to      a resumption of unrestricted submarine warfare on the 31st of      January 1917. This action broke the earlier pledge of the      Germans to respect passenger shipping and convinced President      Wilson to break diplomatic relations with Germany on the 3rd      of February 1917.       Soon after, the British Government provided Wilson an      intercepted communication from the German foreign secretary,      Arthur Zimmermann, to the German envoy in In the      telegram, Zimmermann proposed that if the United States      joined the war on the Allied side, Germany and Mexico should      enter into an alliance. In return, Mexico, by taking up arms      against the United States, would receive from Germany      supplies, financial assistance. Once a victory was achieved,      Mexico could claim territory in Texas, New Mexico, and            The State Department released the telegram to the      Associated Press on the 28th of February, and the American      public opinion turned sharply, as many became convinced of      German duplicity and aggressive intentions. No longer was the      war seen as simply a horrific folly by the European powers,      but rather as a clear indication of the danger of unchecked      militarism.       With the abdication of the Russian czar in February 1917      and the rise of a provisional representative government,      Americans came to see the war as a struggle that pitted      democracies against aggressive, authoritarian imperialists.       Faced with this clear contrast, President Wilson addressed      this very floor on April 2, 1917, in a joint session of      Congress declaring his desire that: We shall fight for the      things which we have always carried nearest our hearts--for      democracy, for the right of those who submit to authority to      have a voice in their governments, for the rights and      liberties of small nations, for universal dominion of right      by such a concert of free peoples as shall bring peace and      safety to all nations and make the world itself at last free.       On the 6th of April--100 years ago today, where I am      standing--with concrete evidence of German hostility to the      United States, to international peace, and to liberal      democracy, Congress of the United States declared war on       The first act of war committed on Germany was executed that very day, when the United States Army's 1st Battalion, 22nd Infantry marched from Fort Jay, New York, to Hoboken, New Jersey, boarded and seized the German ships in the harbor and interned the German crews. I had the privilege to command the 1st Battalion, 22nd Infantry in Iraq in 2003-2004.  Among the ships seized that day on April 6, 1917, was the SS Vaterland, a luxury liner later renamed the USS This luxury transport would send 10 percent of all doughboys to France and bring a great many of them home as well.  The last American World War I veteran was Frank Buckles, who enlisted from Oakwood, Oklahoma, in August of 1917. He died only 6 years ago, in February 2011, at age 110.  I had the privilege to know a great many World War I veterans. The last time I saw my great-grandfather was when I came home on leave as a young Army captain. As we had a very pleasant visit and it came to a close and I had to go, he told me: ``Don't go yet. I want to give you something.''  He returned from his bedroom with some items in a cigar box that I remember looking at as a kid. He said: ``I want you to have these.''  I said: ``I can't take these, grandpa. Those were your brother's.''  He said: ``You will take them because I know you will keep Frank's memory alive.''  He was right. They have been displayed by me ever since, wherever I have been.  As we reflect today on the declaration of war 100 years ago on this very spot in 1917 that began the United States entry into World War I, let us embark on a national centennial remembrance for all Americans of that day who sacrificed so much for our They are all gone now, but as long as we who knew them have breath and remember them, they will live.  Mr.Speaker, I yield back the balance of my time.                          ____________________",CREC-2017-04-06-pt1-PgH2777.txt,CREC-2017-04-06-pt1-PgH2777.xml,REMEMBERING WORLD WAR I,2017,4,6
7,GARAMENDI,1973,proceeding_id,topic_id,84,"Mr.Speaker, I remember well the investigations that Congress undertook in the Nixon period--the Watergate investigations.  Frankly, I am appalled at the way in which this House is conducting its investigations. It is high time that we have an independent investigation.[[Page H2769]]  The reality has changed since the sixties and seventies. We now have 24-7 cable TV, and everything seems to be momentarily disclosed. We can't continue. We need an independent investigation of this extremely important issue of Russia's involvement in our national elections.                          ____________________",CREC-2017-04-06-pt1-PgH2768-7.txt,CREC-2017-04-06-pt1-PgH2768-7.xml,INVESTIGATE RUSSIA'S INVOLVEMENT IN OUR NATIONAL ELECTIONS,2017,4,6
8,PANETTA,2309,proceeding_id,topic_id,182,"Mr.Speaker, in the early morning hours on a day earlier this week, a small town in northwest Syria was atrociously attacked with chemical bombs. As a result, over 75 civilians died and over 20 children gasped for air, writhed in pain, and foamed at the mouth. They suffered dilated pupils, muscle spasms, and involuntary defecation.  Based on the state of this evidence, it appears that it was the Syrian President, Bashar al-Assad, who committed this heinous act against his people once again. The last time Assad committed such an act, in 2013, he agreed to eliminate his chemical weapons. However, it appears he lied, and he continues his sick aggression against his own people and our humanity.  From the first use of chemical weapons in World War I to the Iran-Iraq war in the 1980s and now in Syria, chemical weapons epitomize the absolute horror of modern-day warfare. That is, of course, why they are outlawed and why their use is a war crime. That is also why anybody who uses them must be treated and penalized like a war criminal.                          ____________________",CREC-2017-04-06-pt1-PgH2768-3.txt,CREC-2017-04-06-pt1-PgH2768-3.xml,ATROCIOUS CHEMICAL WEAPONS ATTACK,2017,4,6
9,GARRETT,1737,proceeding_id,topic_id,130,"Mr.Speaker, I ask that you join me today as we remember the lives of Jaiden Bartee and Tori Perez, ages 5 and 6 years old, who, as they stood with their mothers waiting for the schoolbus on the morning of March 30, were struck down and taken from this world far too soon by a passing truck.  Mr.Speaker, Members, there is no Scripture, no words, no thought poignant enough to address the loss of these mothers, of the Buckingham County, Virginia, community, of humanity of these two lives; but in what is the best effort that I can make, I ask that all of my colleagues and these Members of the Virginia delegation who join me to join in a moment of silence to recognize these two young people.                          ____________________",CREC-2017-04-06-pt1-PgH2768-2.txt,CREC-2017-04-06-pt1-PgH2768-2.xml,MOMENT OF SILENCE IN HONOR OF JAIDEN BARTEE AND TORI PEREZ,2017,4,6
