speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id
2,Neil,ABERCROMBIE,REPRESENTATIVE,D,HI,1,A000014,107
1269,Spencer,ABRAHAM,SENATOR,R,MI,,A000355,106
2244,Ralph,ABRAHAM,REPRESENTATIVE,R,LA,5,A000374,114
4,Gary,ACKERMAN,REPRESENTATIVE,D,NY,5,A000022,107
2006,Sandy,ADAMS,REPRESENTATIVE,R,FL,24,A000366,112
2201,Alma,ADAMS,REPRESENTATIVE,D,NC,12,A000370,114
1460,Robert,ADERHOLT,REPRESENTATIVE,R,AL,4,A000055,113
1935,John,ADLER,REPRESENTATIVE,D,NJ,3,A000364,111
2229,Pete,AGUILAR,REPRESENTATIVE,D,CA,31,A000371,114
7,Daniel,AKAKA,SENATOR,D,HI,,A000069,107
1655,W.,AKIN,REPRESENTATIVE,R,MO,2,A000358,107
1727,Rodney,ALEXANDER,REPRESENTATIVE,R,LA,5,A000361,112
1695,Lamar,ALEXANDER,SENATOR,R,TN,,A000360,113
11,Wayne,ALLARD,SENATOR,R,CO,,A000109,107
13,George,ALLEN,SENATOR,R,VA,,A000121,107
1461,Thomas,ALLEN,REPRESENTATIVE,D,ME,1,A000357,107
2239,Rick,ALLEN,REPRESENTATIVE,R,GA,12,A000372,114
1873,Jason,ALTMIRE,REPRESENTATIVE,D,PA,4,A000362,112
2029,Justin,AMASH,REPRESENTATIVE,R,MI,3,A000367,113
2090,Mark,AMODEI,REPRESENTATIVE,R,NV,2,A000369,113
21,Robert,ANDREWS,REPRESENTATIVE,D,NJ,1,A000210,107
26,Bill,ARCHER,REPRESENTATIVE,R,TX,7,A000215,106
1867,Michael,ARCURI,REPRESENTATIVE,D,NY,24,A000363,110
28,Richard,ARMEY,REPRESENTATIVE,R,TX,26,A000217,107
1274,John,ASHCROFT,SENATOR,R,MO,,A000356,106
2257,Brad,ASHFORD,REPRESENTATIVE,D,NE,2,A000373,114
1947,Steve,AUSTRIA,REPRESENTATIVE,R,OH,7,A000365,112
2075,Kelly,AYOTTE,SENATOR,R,NH,,A000368,113
2270,Brian,BABIN,REPRESENTATIVE,R,TX,36,B001291,114
1614,Joe,BACA,REPRESENTATIVE,D,CA,42,B001234,107
1858,Michele,BACHMANN,REPRESENTATIVE,R,MN,6,B001256,113
38,Spencer,BACHUS,REPRESENTATIVE,R,AL,6,B000013,113
41,Scotty,BAESLER,REPRESENTATIVE,D,KY,6,B000028,105
1557,Brian,BAIRD,REPRESENTATIVE,D,WA,3,B001229,107
47,Richard,BAKER,REPRESENTATIVE,R,LA,6,B000072,107
48,John,BALDACCI,REPRESENTATIVE,D,ME,2,B000081,107
1558,Tammy,BALDWIN,SENATOR,D,WI,,B001230,113
50,Cass,BALLENGER,REPRESENTATIVE,R,NC,10,B000104,107
2093,Ron,BARBER,REPRESENTATIVE,D,AZ,2,B001279,113
52,James,BARCIA,REPRESENTATIVE,D,MI,5,B000134,107
2054,Lou,BARLETTA,REPRESENTATIVE,R,PA,11,B001269,113
56,Bob,BARR,REPRESENTATIVE,R,GA,7,B000169,107
2131,Andy,BARR,REPRESENTATIVE,R,KY,6,B001282,113
1881,John,BARRASSO,SENATOR,R,WY,,B001261,113
57,Bill,BARRETT,REPRESENTATIVE,R,NE,3,B000179,106
1745,J.,BARRETT,REPRESENTATIVE,R,SC,3,B001239,110
58,Thomas,BARRETT,REPRESENTATIVE,D,WI,5,B000177,107
1780,John,BARROW,REPRESENTATIVE,D,GA,12,B001252,113
60,Roscoe,BARTLETT,REPRESENTATIVE,R,MD,6,B000208,107
62,Joe,BARTON,REPRESENTATIVE,R,TX,6,B000213,113
1996,Karen,BASS,REPRESENTATIVE,D,CA,37,B001270,113
63,Charles,BASS,REPRESENTATIVE,R,NH,2,B000220,107
64,Herbert,BATEMAN,REPRESENTATIVE,R,VA,1,B000229,106
66,Max,BAUCUS,SENATOR,D,MT,,B000243,107
1572,Evan,BAYH,SENATOR,D,IN,,B001233,107
1782,Melissa,BEAN,REPRESENTATIVE,D,IL,8,B001253,110
2153,Joyce,BEATTY,REPRESENTATIVE,D,OH,3,B001281,113
